model_id,asteroid_id,lambda,beta,period,number,name,designation,reference_id,bibcode,a,b,c,R,R2
290,218,103.0,43.0,14.84547,68.0,Leto,,149,2013icar..226.1045h,0.100401,0.088869,0.087039,0.923162,0.9231607843372772
290,218,103.0,43.0,14.84547,68.0,Leto,,141,2011a&a...530a.134h,0.100401,0.088869,0.087039,0.923162,0.9231607843372772
292,219,95.0,-65.0,6.874783,85.0,Io,,139,2011icar..214..652d,0.101747,0.091291,0.068913,0.716083,0.7160846971886534
292,219,95.0,-65.0,6.874783,85.0,Io,,149,2013icar..226.1045h,0.101747,0.091291,0.068913,0.716083,0.7160846971886534
293,220,8.0,-13.0,11.38834,89.0,Julia,,139,2011icar..214..652d,0.103457,0.089992,0.088379,0.918167,0.9181672377169366
293,220,8.0,-13.0,11.38834,89.0,Julia,,149,2013icar..226.1045h,0.103457,0.089992,0.088379,0.918167,0.9181672377169366
294,221,149.0,33.0,8.70221,95.0,Arethusa,,139,2011icar..214..652d,0.112758,0.085854,0.07822,0.802393,0.8023898058881525
295,222,174.0,29.0,7.22439,165.0,Loreley,,139,2011icar..214..652d,0.093371,0.088208,0.072057,0.794313,0.7943132662020402
295,222,174.0,29.0,7.22439,165.0,Loreley,,149,2013icar..226.1045h,0.093371,0.088208,0.072057,0.794313,0.7943132662020402
296,223,28.0,-72.0,14.4767,302.0,Clarissa,,139,2011icar..214..652d,0.271272,0.172036,0.107748,0.511753,0.5117531035021368
296,223,28.0,-72.0,14.4767,302.0,Clarissa,,141,2011a&a...530a.134h,0.271272,0.172036,0.107748,0.511753,0.5117531035021368
297,223,190.0,-72.0,14.4767,302.0,Clarissa,,139,2011icar..214..652d,0.271468,0.169534,0.107704,0.516022,0.516020486545044
297,223,190.0,-72.0,14.4767,302.0,Clarissa,,141,2011a&a...530a.134h,0.271468,0.169534,0.107704,0.516022,0.516020486545044
298,224,221.0,-47.0,8.58189,372.0,Palma,,139,2011icar..214..652d,0.092984,0.083701,0.067947,0.771262,0.7712605188395248
298,224,221.0,-47.0,8.58189,372.0,Palma,,141,2011a&a...530a.134h,0.092984,0.083701,0.067947,0.771262,0.7712605188395248
299,224,44.0,17.0,8.58191,372.0,Palma,,139,2011icar..214..652d,0.089565,0.080651,0.067206,0.791832,0.7918270715994333
299,224,44.0,17.0,8.58191,372.0,Palma,,141,2011a&a...530a.134h,0.089565,0.080651,0.067206,0.791832,0.7918270715994333
300,225,223.0,67.0,7.115394,471.0,Papagena,,139,2011icar..214..652d,0.124256,0.11555,0.058612,0.489474,0.4894735985940111
301,226,294.0,41.0,7.87754,925.0,Alphonsina,,139,2011icar..214..652d,0.201918,0.143146,0.10852,0.647773,0.6477765006532459
301,226,294.0,41.0,7.87754,925.0,Alphonsina,,141,2011a&a...530a.134h,0.201918,0.143146,0.10852,0.647773,0.6477765006532459
4379,153,202.0,61.0,14.08574,208.0,Lacrimosa,,139,2011icar..214..652d,1.27532,1.033599,0.750944,0.657681,0.6576805563359724
4379,153,202.0,61.0,14.08574,208.0,Lacrimosa,,105,2003icar..162..285s,1.27532,1.033599,0.750944,0.657681,0.6576805563359724
4379,153,202.0,61.0,14.08574,208.0,Lacrimosa,,182,,1.27532,1.033599,0.750944,0.657681,0.6576805563359724
4380,153,16.0,60.0,14.08574,208.0,Lacrimosa,,139,2011icar..214..652d,1.266148,1.020608,0.769484,0.680842,0.6808414437474851
4380,153,16.0,60.0,14.08574,208.0,Lacrimosa,,105,2003icar..162..285s,1.266148,1.020608,0.769484,0.680842,0.6808414437474851
